,date,AR,AU,BR,CA,CL,HK,CN,CO,FR,DE,IN,IT,JP,KR,MX,NZ,NO,PT,SA,ZA,ES,SE,CH,UK,US
0,2014-10-01,0.0947,0.0916,0.1138,0.1258,0.1033,0.0671,0.0566,0.1317,0.1113,0.0648,0.0766,0.085,0.0756,0.0337,0.1331,0.074,0.0448,0.0897,0.0626,0.063,0.1125,0.0779,0.0626,0.0914,0.139
1,2014-10-02,0.0954,0.1011,0.1094,0.1072,0.0963,0.0636,0.0609,0.1178,0.0997,0.0663,0.0841,0.084,0.1086,0.0353,0.1098,0.0645,0.0559,0.0858,0.0596,0.061,0.1182,0.0713,0.0723,0.0882,0.1361
2,2014-10-03,0.0853,0.0652,0.1154,0.102,0.1141,0.0628,0.0743,0.1105,0.1185,0.0507,0.0758,0.0831,0.0735,0.0226,0.1256,0.0724,0.0438,0.0674,0.0473,0.0753,0.0919,0.0704,0.0525,0.0773,0.1259
3,2014-10-04,0.063,0.0532,0.0933,0.0999,0.0974,0.0429,0.0514,0.095,0.0712,0.0471,0.0717,0.0617,0.072,0.0436,0.1106,0.0741,0.0452,0.0449,0.0587,0.0505,0.0963,0.0453,0.0321,0.0517,0.1333
4,2014-10-05,0.0823,0.0733,0.0536,0.1018,0.0633,0.0489,0.0493,0.1366,0.0704,0.0339,0.0657,0.0695,0.0614,0.0185,0.0994,0.0673,0.0592,0.0404,0.0552,0.0423,0.0884,0.0587,0.0292,0.0686,0.1301
5,2014-10-06,0.0887,0.0901,0.0835,0.1011,0.0972,0.0883,0.0643,0.111,0.0972,0.0578,0.0767,0.0664,0.0782,0.0643,0.1186,0.0795,0.0583,0.0695,0.0427,0.0842,0.0882,0.0753,0.0661,0.0867,0.127
6,2014-10-07,0.0915,0.0862,0.0999,0.1293,0.1265,0.0846,0.0554,0.1058,0.098,0.0581,0.089,0.0731,0.0768,0.0878,0.1312,0.0759,0.0566,0.0964,0.0536,0.0822,0.1015,0.0548,0.0413,0.0868,0.1357
7,2014-10-08,0.1058,0.1004,0.0957,0.1173,0.1125,0.0869,0.085,0.1034,0.0974,0.0637,0.0851,0.0702,0.0752,0.0748,0.1182,0.0773,0.0711,0.099,0.0562,0.061,0.1135,0.0551,0.0419,0.0922,0.1353
8,2014-10-09,0.0805,0.0898,0.098,0.1066,0.1084,0.0643,0.0722,0.1191,0.095,0.0771,0.0989,0.0725,0.0849,0.0651,0.1241,0.0571,0.0486,0.0824,0.0548,0.0962,0.0767,0.0603,0.0564,0.1106,0.124
9,2014-10-10,0.0613,0.0653,0.0938,0.1008,0.1109,0.0551,0.0555,0.1107,0.1065,0.0524,0.077,0.0905,0.0752,0.055,0.1109,0.0687,0.0396,0.0968,0.0504,0.0567,0.078,0.0507,0.056,0.0779,0.1073
10,2014-10-11,0.0702,0.0616,0.1065,0.1288,0.0805,0.0355,0.0439,0.0873,0.0685,0.0544,0.0913,0.0778,0.063,0.0414,0.1171,0.0426,0.0483,0.0664,0.0738,0.052,0.078,0.0708,0.0476,0.0879,0.1197
11,2014-10-12,0.0727,0.088,0.0887,0.1146,0.0704,0.0199,0.0678,0.0838,0.0824,0.057,0.0675,0.0709,0.074,0.0612,0.1218,0.0741,0.0603,0.056,0.0739,0.0343,0.0882,0.0651,0.0422,0.053,0.0989
12,2014-10-13,0.0864,0.0835,0.1285,0.1064,0.1294,0.06,0.078,0.0812,0.0881,0.068,0.0941,0.092,0.0861,0.065,0.1263,0.0849,0.0703,0.1114,0.0925,0.0491,0.0992,0.0746,0.077,0.0987,0.1506
13,2014-10-14,0.099,0.1084,0.123,0.135,0.1248,0.0457,0.0676,0.1106,0.1159,0.0615,0.1025,0.0802,0.0961,0.0695,0.1417,0.0825,0.0543,0.1032,0.0727,0.0661,0.0891,0.0594,0.0577,0.106,0.1461
