,date,AR,AU,BR,CA,CL,HK,CN,CO,FR,DE,IN,IT,JP,KR,MX,NZ,NO,PT,SA,ZA,ES,SE,CH,UK,US
0,2014-10-01,0.1999,0.2037,0.2123,0.1914,0.2635,0.0866,0.1126,0.2477,0.2407,0.1719,0.1779,0.1783,0.1502,0.0992,0.2428,0.1645,0.1376,0.1863,0.1595,0.1648,0.2455,0.1546,0.1759,0.1843,0.2093
1,2014-11-01,0.2092,0.2354,0.2253,0.2152,0.25,0.095,0.1128,0.2448,0.2236,0.1801,0.1971,0.1598,0.1668,0.1142,0.2294,0.1594,0.104,0.196,0.1411,0.1474,0.251,0.1532,0.186,0.1881,0.2244
2,2014-12-01,0.2143,0.219,0.2184,0.2053,0.2675,0.0779,0.1235,0.2634,0.2389,0.1924,0.217,0.1683,0.1858,0.1087,0.2625,0.1615,0.0891,0.1863,0.1337,0.126,0.2499,0.1467,0.18,0.1904,0.2137
3,2015-01-01,0.1632,0.1886,0.2249,0.1968,0.2388,0.0847,0.1057,0.2403,0.1972,0.1814,0.2032,0.1553,0.1552,0.1162,0.2668,0.1442,0.1034,0.1772,0.1202,0.1374,0.2444,0.1225,0.1639,0.1916,0.2181
4,2015-02-01,0.1787,0.2037,0.2124,0.1955,0.2413,0.0882,0.1133,0.2559,0.2164,0.1672,0.2052,0.171,0.1437,0.1103,0.2517,0.1482,0.0926,0.1775,0.1469,0.1615,0.2477,0.1174,0.165,0.1958,0.2126
5,2015-03-01,0.2012,0.1948,0.2102,0.2025,0.2415,0.066,0.1237,0.2525,0.2276,0.1931,0.2182,0.1794,0.1554,0.1032,0.2515,0.1449,0.103,0.1867,0.1239,0.1408,0.249,0.1456,0.1661,0.1916,0.2157
6,2015-04-01,0.2056,0.1939,0.2126,0.2108,0.2531,0.082,0.1171,0.2531,0.2167,0.1893,0.2101,0.1696,0.1533,0.1024,0.2543,0.1399,0.1233,0.1607,0.119,0.1273,0.2386,0.1451,0.1326,0.1944,0.2195
7,2015-05-01,0.2094,0.1943,0.215,0.218,0.2606,0.0811,0.1102,0.273,0.2268,0.1882,0.2229,0.1766,0.162,0.0827,0.256,0.1591,0.1267,0.155,0.1281,0.1343,0.2521,0.1425,0.1401,0.1919,0.2201
8,2015-06-01,0.2116,0.211,0.2103,0.216,0.208,0.0785,0.1349,0.2606,0.2391,0.1788,0.2177,0.1771,0.1449,0.0551,0.253,0.1566,0.1036,0.1551,0.1377,0.1544,0.2662,0.1297,0.1271,0.2009,0.2226
9,2015-07-01,0.2092,0.2021,0.2104,0.202,0.2501,0.0999,0.1221,0.2714,0.2156,0.1795,0.2267,0.1849,0.1488,0.0651,0.2806,0.1728,0.0943,0.1393,0.128,0.146,0.2465,0.1482,0.1337,0.1858,0.2203
10,2015-08-01,0.2339,0.2132,0.2088,0.2148,0.2586,0.0991,0.1174,0.2647,0.231,0.1867,0.2196,0.1894,0.1463,0.0681,0.2836,0.1692,0.0779,0.1133,0.1336,0.1612,0.2515,0.1273,0.1539,0.1851,0.2208
11,2015-09-01,0.2036,0.2174,0.2202,0.2129,0.2642,0.1259,0.1262,0.2649,0.2203,0.1692,0.2345,0.1995,0.1593,0.0786,0.271,0.1663,0.0877,0.1024,0.1461,0.1657,0.2487,0.1403,0.1477,0.2,0.2177
12,2015-10-01,0.2205,0.2059,0.2093,0.2035,0.2491,0.1049,0.1274,0.2745,0.2289,0.1844,0.2275,0.2118,0.1462,0.0684,0.2697,0.1635,0.0994,0.1194,0.1571,0.1632,0.26,0.1458,0.1449,0.1914,0.2109
13,2015-11-01,0.2203,0.2147,0.2085,0.2702,0.2733,0.127,0.1718,0.2846,0.1942,0.1764,0.2433,0.1862,0.1791,0.0972,0.2571,0.173,0.0881,0.1395,0.1658,0.1888,0.245,0.1285,0.1419,0.2283,0.2144
14,2015-12-01,0.2257,0.2641,0.2114,0.258,0.2786,0.1447,0.1562,0.2864,0.2266,0.1976,0.2543,0.2087,0.1846,0.0892,0.2828,0.1851,0.0744,0.1403,0.1513,0.1736,0.2701,0.1438,0.1586,0.2218,0.232
15,2016-01-01,0.2132,0.1876,0.2248,0.2052,0.2691,0.1045,0.1204,0.2708,0.2206,0.1916,0.1998,0.1935,0.1505,0.0658,0.2675,0.1442,0.0942,0.1423,0.1376,0.1707,0.2621,0.1357,0.1557,0.1851,0.2053
16,2016-02-01,0.222,0.2058,0.2124,0.2157,0.2704,0.0965,0.1286,0.2619,0.2247,0.1817,0.2023,0.211,0.1514,0.0747,0.2175,0.1483,0.0849,0.1423,0.1475,0.1582,0.2575,0.1459,0.1686,0.195,0.196
