,date,AR,AU,BR,CA,CL,HK,CN,CO,FR,DE,IN,IT,JP,KR,MX,NZ,NO,PT,SA,ZA,ES,SE,CH,UK,US
0,2014-12-01,0.2351,0.2499,0.2489,0.2229,0.2959,0.0994,0.1257,0.2831,0.2601,0.2191,0.2167,0.1953,0.1858,0.1219,0.2682,0.1887,0.1537,0.2217,0.1728,0.1713,0.2771,0.1916,0.2224,0.2067,0.2318
1,2015-03-01,0.2088,0.2223,0.2439,0.2163,0.2751,0.0904,0.1251,0.2775,0.2417,0.2192,0.2289,0.193,0.1688,0.1252,0.281,0.1726,0.1377,0.2116,0.1512,0.1705,0.2743,0.1629,0.2047,0.213,0.2306
2,2015-06-01,0.2376,0.2275,0.2397,0.2357,0.2722,0.0932,0.1318,0.2924,0.255,0.2248,0.2325,0.2006,0.17,0.0964,0.2792,0.1825,0.1538,0.1841,0.149,0.1632,0.281,0.1743,0.1811,0.2166,0.2359
3,2015-09-01,0.2447,0.2403,0.2402,0.232,0.2899,0.1203,0.1312,0.2961,0.2526,0.2177,0.2425,0.2225,0.1675,0.0792,0.3049,0.1967,0.1252,0.1438,0.1609,0.1819,0.2778,0.1763,0.1933,0.2103,0.2346
4,2015-12-01,0.253,0.2577,0.2367,0.2707,0.3004,0.1391,0.1638,0.3184,0.2513,0.2252,0.2615,0.2378,0.1874,0.0933,0.2957,0.2017,0.1267,0.1588,0.1833,0.2034,0.2881,0.1715,0.1951,0.2366,0.2375
5,2016-03-01,0.2439,0.2244,0.234,0.234,0.2942,0.1092,0.1328,0.2941,0.2442,0.2273,0.2123,0.2272,0.1694,0.0819,0.2751,0.1751,0.1243,0.1659,0.1694,0.1851,0.2871,0.1705,0.2152,0.2121,0.2152
6,2016-06-01,0.2543,0.208,0.2138,0.2427,0.2857,0.137,0.1294,0.2877,0.2411,0.227,0.2143,0.222,0.1761,0.1147,0.2894,0.1869,0.1288,0.2202,0.1863,0.1704,0.2899,0.1831,0.2015,0.2085,0.2157
7,2016-09-01,0.2469,0.2056,0.2043,0.2194,0.2831,0.1443,0.1319,0.2626,0.2477,0.2196,0.1978,0.2068,0.1709,0.1109,0.2847,0.1952,0.1343,0.2137,0.1845,0.1621,0.2835,0.1781,0.2022,0.2308,0.2079
8,2016-12-01,0.261,0.2193,0.241,0.2452,0.2618,0.1409,0.1583,0.2693,0.2583,0.2292,0.2103,0.2235,0.2004,0.1219,0.302,0.1964,0.1277,0.2383,0.1936,0.1675,0.2947,0.1894,0.1965,0.239,0.2273
9,2017-03-01,0.2628,0.2135,0.2353,0.2312,0.2855,0.1275,0.156,0.2794,0.2567,0.2216,0.1945,0.2215,0.2066,0.1237,0.2986,0.1908,0.1522,0.2218,0.1701,0.1604,0.296,0.1971,0.189,0.2599,0.2326
10,2017-06-01,0.2617,0.2105,0.2146,0.2401,0.2995,0.1378,0.1697,0.2801,0.233,0.212,0.2038,0.2249,0.2114,0.1198,0.2852,0.19,0.1468,0.2152,0.1726,0.159,0.2869,0.1853,0.2028,0.2621,0.2526
11,2017-09-01,0.2621,0.2178,0.2167,0.2362,0.2929,0.1265,0.1574,0.2654,0.2813,0.2202,0.2005,0.2159,0.1782,0.1114,0.2924,0.1891,0.1488,0.2215,0.168,0.1658,0.2874,0.1925,0.2045,0.2435,0.2426
12,2017-12-01,0.2698,0.2297,0.2261,0.2457,0.2738,0.1389,0.1773,0.2838,0.3021,0.2361,0.2224,0.2425,0.1871,0.1245,0.3062,0.1986,0.1523,0.2385,0.1706,0.159,0.3,0.2095,0.1998,0.2565,0.2503
13,2018-03-01,0.2614,0.2252,0.2177,0.2411,0.2665,0.1437,0.1933,0.293,0.2896,0.2361,0.2188,0.2258,0.1849,0.1132,0.3123,0.1838,0.1597,0.2394,0.1169,0.1593,0.3008,0.2194,0.2185,0.2654,0.2481
14,2018-06-01,0.2513,0.2231,0.2211,0.2398,0.2703,0.1439,0.1973,0.3009,0.265,0.2558,0.2143,0.1409,0.1719,0.1255,0.2743,0.1982,0.1578,0.2481,0.1096,0.1886,0.293,0.2261,0.2322,0.2627,0.2486
15,2018-09-01,0.2716,0.2292,0.2264,0.2378,0.2813,0.1454,0.1987,0.3118,0.2744,0.2547,0.1858,0.1172,0.1853,0.1228,0.3265,0.2019,0.1571,0.2431,0.1251,0.2261,0.292,0.2393,0.2395,0.2761,0.256
16,2018-12-01,0.2636,0.2437,0.2275,0.2753,0.2902,0.1608,0.202,0.3205,0.2864,0.2684,0.1903,0.1391,0.2079,0.1529,0.3268,0.202,0.1616,0.1668,0.1685,0.2143,0.3186,0.2444,0.245,0.2976,0.2646
