,week,AR,AU,BR,CA,CL,HK,CN,CO,FR,DE,IN,IT,JP,KR,MX,NZ,NO,PT,SA,ZA,ES,SE,CH,UK,US
0,1,0.1456,0.1507,0.1367,0.1582,0.195,0.0866,0.1005,0.1947,0.1717,0.1187,0.1235,0.1272,0.1092,0.0778,0.1908,0.1136,0.0949,0.1308,0.0868,0.125,0.1763,0.0976,0.0914,0.1426,0.1894
1,2,0.1565,0.1606,0.1768,0.1715,0.1902,0.0728,0.0971,0.1795,0.1876,0.1197,0.1634,0.1378,0.1177,0.09,0.2173,0.1388,0.1073,0.156,0.1213,0.1069,0.1809,0.1174,0.1224,0.1536,0.1809
2,3,0.155,0.1492,0.1761,0.1455,0.1848,0.0534,0.0963,0.1883,0.1883,0.1228,0.1494,0.1255,0.1284,0.096,0.2011,0.1223,0.0935,0.1163,0.1139,0.1205,0.1785,0.0953,0.1107,0.1486,0.1774
3,4,0.1613,0.1646,0.1783,0.1515,0.2003,0.0692,0.0813,0.194,0.1874,0.1202,0.121,0.1338,0.133,0.0918,0.1885,0.1298,0.0608,0.1369,0.1196,0.1131,0.2063,0.1095,0.1223,0.148,0.1802
4,5,0.1513,0.1754,0.2006,0.194,0.1948,0.056,0.086,0.1976,0.1718,0.1214,0.1458,0.0839,0.1361,0.0925,0.1711,0.1352,0.0848,0.1456,0.121,0.1088,0.2032,0.099,0.131,0.1527,0.1734
5,6,0.1565,0.1917,0.186,0.1869,0.1909,0.1031,0.0953,0.1952,0.1796,0.1382,0.1518,0.1418,0.1279,0.082,0.1815,0.1119,0.0572,0.1535,0.0887,0.0994,0.1972,0.0982,0.1377,0.1513,0.2249
6,7,0.1754,0.2105,0.17,0.1761,0.1926,0.0654,0.0979,0.1684,0.1713,0.1164,0.163,0.1294,0.1387,0.0985,0.1824,0.1242,0.052,0.1318,0.1002,0.1185,0.198,0.1154,0.1224,0.1446,0.1928
7,8,0.1637,0.1316,0.1665,0.1664,0.1853,0.077,0.0956,0.2021,0.1709,0.1237,0.1514,0.1221,0.1466,0.0984,0.1966,0.1172,0.0577,0.1473,0.1012,0.1063,0.1962,0.1163,0.1377,0.1455,0.1665
8,9,0.1648,0.149,0.1744,0.1721,0.2056,0.0513,0.1093,0.2123,0.1749,0.1309,0.1723,0.1255,0.1621,0.0911,0.2059,0.118,0.0505,0.1525,0.0955,0.0957,0.2056,0.1027,0.1316,0.1516,0.1901
9,10,0.175,0.2252,0.1647,0.1857,0.2015,0.0518,0.1079,0.2029,0.1876,0.1266,0.1385,0.1222,0.1656,0.0924,0.2179,0.1376,0.0499,0.1196,0.0946,0.0937,0.2008,0.1095,0.132,0.1584,0.1895
10,11,0.1758,0.1301,0.1752,0.1685,0.1859,0.0677,0.1086,0.2013,0.1871,0.1313,0.1569,0.1283,0.1584,0.0912,0.2231,0.137,0.0414,0.1515,0.1064,0.1069,0.192,0.0921,0.1305,0.1374,0.1865
11,12,0.1243,0.1269,0.1516,0.1522,0.1881,0.07,0.0949,0.1649,0.1573,0.119,0.1694,0.1114,0.1233,0.0875,0.1939,0.0961,0.0541,0.0995,0.1079,0.0667,0.1469,0.0892,0.0989,0.1382,0.1704
12,13,0.1529,0.1351,0.1683,0.1429,0.1788,0.0805,0.0992,0.1802,0.1689,0.1311,0.1975,0.1179,0.118,0.0928,0.2083,0.1006,0.0544,0.114,0.099,0.0682,0.1958,0.0993,0.1042,0.1478,0.1741
13,14,0.1358,0.1352,0.173,0.1557,0.1725,0.0726,0.0896,0.1919,0.1328,0.1236,0.1689,0.1184,0.1292,0.1078,0.205,0.1067,0.0654,0.1117,0.0954,0.0939,0.1598,0.0554,0.1079,0.1355,0.1594
