date,AR_Physical Risk_negative,AR_Physical Risk_neutral,AR_Physical Risk_positive,AR_Transition Risk_negative,AR_Transition Risk_neutral,AR_Transition Risk_positive,AU_Physical Risk_negative,AU_Physical Risk_neutral,AU_Physical Risk_positive,AU_Transition Risk_negative,AU_Transition Risk_neutral,AU_Transition Risk_positive,BR_Physical Risk_negative,BR_Physical Risk_neutral,BR_Physical Risk_positive,BR_Transition Risk_negative,BR_Transition Risk_neutral,BR_Transition Risk_positive,CA_Physical Risk_negative,CA_Physical Risk_neutral,CA_Physical Risk_positive,CA_Transition Risk_negative,CA_Transition Risk_neutral,CA_Transition Risk_positive,CH_Physical Risk_negative,CH_Physical Risk_neutral,CH_Physical Risk_positive,CH_Transition Risk_negative,CH_Transition Risk_neutral,CH_Transition Risk_positive,CL_Physical Risk_negative,CL_Physical Risk_neutral,CL_Physical Risk_positive,CL_Transition Risk_negative,CL_Transition Risk_neutral,CL_Transition Risk_positive,CN_Physical Risk_negative,CN_Physical Risk_neutral,CN_Physical Risk_positive,CN_Transition Risk_negative,CN_Transition Risk_neutral,CN_Transition Risk_positive,CO_Physical Risk_negative,CO_Physical Risk_neutral,CO_Physical Risk_positive,CO_Transition Risk_negative,CO_Transition Risk_neutral,CO_Transition Risk_positive,DE_Physical Risk_negative,DE_Physical Risk_neutral,DE_Physical Risk_positive,DE_Transition Risk_negative,DE_Transition Risk_neutral,DE_Transition Risk_positive,ES_Physical Risk_negative,ES_Physical Risk_neutral,ES_Physical Risk_positive,ES_Transition Risk_negative,ES_Transition Risk_neutral,ES_Transition Risk_positive,FR_Physical Risk_negative,FR_Physical Risk_neutral,FR_Physical Risk_positive,FR_Transition Risk_negative,FR_Transition Risk_neutral,FR_Transition Risk_positive,HK_Physical Risk_negative,HK_Physical Risk_neutral,HK_Physical Risk_positive,HK_Transition Risk_negative,HK_Transition Risk_neutral,HK_Transition Risk_positive,IN_Physical Risk_negative,IN_Physical Risk_neutral,IN_Physical Risk_positive,IN_Transition Risk_negative,IN_Transition Risk_neutral,IN_Transition Risk_positive,IT_Physical Risk_negative,IT_Physical Risk_neutral,IT_Physical Risk_positive,IT_Transition Risk_negative,IT_Transition Risk_neutral,IT_Transition Risk_positive,JP_Physical Risk_negative,JP_Physical Risk_neutral,JP_Physical Risk_positive,JP_Transition Risk_negative,JP_Transition Risk_neutral,JP_Transition Risk_positive,KR_Physical Risk_negative,KR_Physical Risk_neutral,KR_Physical Risk_positive,KR_Transition Risk_negative,KR_Transition Risk_neutral,KR_Transition Risk_positive,MX_Physical Risk_negative,MX_Physical Risk_neutral,MX_Physical Risk_positive,MX_Transition Risk_negative,MX_Transition Risk_neutral,MX_Transition Risk_positive,NO_Physical Risk_negative,NO_Physical Risk_neutral,NO_Physical Risk_positive,NO_Transition Risk_negative,NO_Transition Risk_neutral,NO_Transition Risk_positive,NZ_Physical Risk_negative,NZ_Physical Risk_neutral,NZ_Physical Risk_positive,NZ_Transition Risk_negative,NZ_Transition Risk_neutral,NZ_Transition Risk_positive,PT_Physical Risk_negative,PT_Physical Risk_neutral,PT_Physical Risk_positive,PT_Transition Risk_negative,PT_Transition Risk_neutral,PT_Transition Risk_positive,SA_Physical Risk_negative,SA_Physical Risk_neutral,SA_Physical Risk_positive,SA_Transition Risk_negative,SA_Transition Risk_neutral,SA_Transition Risk_positive,SE_Physical Risk_negative,SE_Physical Risk_neutral,SE_Physical Risk_positive,SE_Transition Risk_negative,SE_Transition Risk_neutral,SE_Transition Risk_positive,UK_Physical Risk_negative,UK_Physical Risk_neutral,UK_Physical Risk_positive,UK_Transition Risk_negative,UK_Transition Risk_neutral,UK_Transition Risk_positive,US_Physical Risk_negative,US_Physical Risk_neutral,US_Physical Risk_positive,US_Transition Risk_negative,US_Transition Risk_neutral,US_Transition Risk_positive,ZA_Physical Risk_negative,ZA_Physical Risk_neutral,ZA_Physical Risk_positive,ZA_Transition Risk_negative,ZA_Transition Risk_neutral,ZA_Transition Risk_positive
2014-10-06,0.5,0.143,0.143,0.143,0.0,0.071,0.0,0.2,0.0,0.0,0.6,0.2,0.091,0.364,0.0,0.182,0.273,0.091,0.75,0.25,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.2,0.0,0.5,0.0,0.167,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455,0.182,0.182,0.0,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.2,0.0,0.167,0.0,0.167,0.167,0.333,0.167,0.5,0.0,0.0,0.0,0.5,0.0,0.045,0.023,0.0,0.409,0.409,0.114,0.2,0.2,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.526,0.368,0.0,0.0,0.105,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.333,0.167,0.0,0.333,0.167,0.0,0.333,0.333,0.0,0.0,0.333,0.0,0.429,0.0,0.571,0.0,0.0,0.0,0.13,0.435,0.087,0.13,0.217,0.0,0.062,0.25,0.0,0.438,0.25,0.0,0.389,0.167,0.111,0.056,0.278,0.0,0.5,0.0,0.0,0.5,0.0,0.0
2014-10-13,0.333,0.167,0.333,0.0,0.167,0.0,0.1,0.3,0.0,0.3,0.2,0.1,0.333,0.333,0.0,0.0,0.167,0.167,0.667,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.375,0.0,0.0,0.125,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455,0.0,0.091,0.273,0.091,0.091,0.0,0.0,0.0,0.6,0.4,0.0,0.1,0.1,0.0,0.4,0.1,0.3,0.0,0.0,0.0,0.182,0.545,0.273,0.0,0.0,0.0,0.0,0.0,0.0,0.296,0.111,0.019,0.333,0.185,0.056,0.182,0.182,0.091,0.091,0.273,0.182,0.4,0.0,0.0,0.0,0.0,0.6,0.833,0.0,0.0,0.0,0.167,0.0,0.389,0.167,0.056,0.111,0.111,0.167,0.0,0.0,0.0,1.0,0.0,0.0,0.143,0.143,0.286,0.286,0.143,0.0,0.583,0.167,0.0,0.083,0.083,0.083,0.333,0.267,0.0,0.2,0.2,0.0,0.143,0.143,0.429,0.143,0.0,0.143,0.0,0.222,0.0,0.444,0.333,0.0,0.375,0.312,0.156,0.062,0.062,0.031,0.0,0.0,0.0,0.667,0.333,0.0
2014-10-20,0.273,0.182,0.182,0.182,0.182,0.0,0.4,0.0,0.0,0.0,0.6,0.0,0.261,0.174,0.0,0.391,0.087,0.087,0.125,0.5,0.0,0.125,0.25,0.0,0.0,0.0,0.667,0.333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.389,0.111,0.167,0.111,0.056,0.167,0.0,0.0,0.0,0.0,0.75,0.25,0.2,0.4,0.2,0.0,0.2,0.0,0.143,0.0,0.0,0.643,0.143,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.063,0.013,0.0,0.329,0.43,0.165,0.0,0.0,0.0,0.333,0.667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.478,0.087,0.0,0.261,0.13,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.25,0.0,0.0,0.0,0.333,0.2,0.0,0.067,0.4,0.0,0.211,0.158,0.263,0.105,0.053,0.211,0.4,0.4,0.0,0.2,0.0,0.0,0.231,0.154,0.0,0.385,0.231,0.0,0.15,0.3,0.15,0.15,0.15,0.1,0.0,1.0,0.0,0.0,0.0,0.0
2014-10-27,0.333,0.2,0.267,0.067,0.133,0.0,0.167,0.25,0.0,0.333,0.25,0.0,0.316,0.316,0.053,0.211,0.105,0.0,0.833,0.167,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.667,0.444,0.333,0.111,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.25,0.2,0.1,0.15,0.15,0.0,0.0,0.0,0.75,0.25,0.0,0.5,0.167,0.0,0.167,0.167,0.0,0.25,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.1,0.025,0.2,0.3,0.125,0.25,0.0,0.0,0.125,0.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.263,0.211,0.0,0.368,0.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429,0.286,0.286,0.0,0.0,0.0,0.125,0.375,0.0,0.333,0.125,0.042,0.222,0.111,0.333,0.111,0.111,0.111,0.25,0.25,0.25,0.25,0.0,0.0,0.429,0.0,0.0,0.429,0.143,0.0,0.4,0.24,0.2,0.04,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-07,0.4,0.2,0.0,0.2,0.133,0.067,0.5,0.0,0.0,0.5,0.0,0.0,0.464,0.25,0.036,0.071,0.179,0.0,0.357,0.429,0.0,0.0,0.143,0.071,0.0,0.0,0.167,0.333,0.0,0.5,0.0,0.0,0.667,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.389,0.0,0.222,0.278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.455,0.455,0.0,0.333,0.0,0.0,0.444,0.111,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.2,0.0,0.2,0.4,0.125,0.273,0.0,0.091,0.273,0.364,0.0,0.667,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.267,0.067,0.0,0.467,0.133,0.067,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.333,0.333,0.062,0.625,0.0,0.125,0.125,0.062,0.4,0.4,0.2,0.0,0.0,0.0,0.571,0.286,0.143,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.571,0.286,0.154,0.115,0.038,0.192,0.462,0.038,0.667,0.0,0.0,0.222,0.111,0.0
2014-11-10,0.562,0.312,0.0,0.125,0.0,0.0,0.125,0.25,0.25,0.25,0.0,0.125,0.478,0.435,0.0,0.0,0.087,0.0,0.667,0.333,0.0,0.0,0.0,0.0,0.0,0.286,0.143,0.429,0.0,0.143,0.25,0.25,0.125,0.125,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.1,0.05,0.15,0.1,0.0,0.333,0.333,0.0,0.333,0.0,0.0,0.2,0.0,0.8,0.0,0.0,0.273,0.091,0.182,0.182,0.0,0.273,0.0,0.0,0.0,0.0,0.0,0.0,0.106,0.128,0.0,0.298,0.362,0.106,0.4,0.1,0.0,0.1,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.222,0.0,0.0,0.111,0.444,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.429,0.143,0.286,0.0,0.143,0.0,0.067,0.4,0.133,0.2,0.067,0.133,0.2,0.0,0.4,0.2,0.2,0.0,0.333,0.333,0.333,0.0,0.0,0.0,0.091,0.091,0.182,0.273,0.273,0.091,0.395,0.233,0.07,0.14,0.163,0.0,0.8,0.0,0.0,0.2,0.0,0.0
2014-11-12,0.0,0.167,0.333,0.333,0.167,0.0,0.0,0.25,0.0,0.5,0.25,0.0,0.179,0.321,0.036,0.286,0.143,0.036,0.714,0.0,0.0,0.143,0.143,0.0,0.429,0.0,0.0,0.286,0.0,0.286,0.143,0.429,0.0,0.0,0.429,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.333,0.095,0.333,0.238,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.25,0.167,0.0,0.5,0.0,0.083,0.25,0.25,0.125,0.25,0.125,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.105,0.026,0.026,0.289,0.342,0.211,0.75,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.429,0.19,0.095,0.143,0.095,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.333,0.0,0.0,0.167,0.0,0.269,0.115,0.0,0.231,0.308,0.077,0.2,0.0,0.2,0.4,0.2,0.0,0.0,0.6,0.0,0.0,0.4,0.0,0.111,0.222,0.0,0.111,0.444,0.111,0.13,0.261,0.217,0.174,0.174,0.043,1.0,0.0,0.0,0.0,0.0,0.0
2014-11-19,0.2,0.5,0.0,0.1,0.1,0.1,0.308,0.231,0.154,0.154,0.154,0.0,0.2,0.333,0.0,0.133,0.333,0.0,0.214,0.357,0.071,0.143,0.214,0.0,0.0,0.0,0.333,0.333,0.333,0.0,0.25,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.263,0.368,0.0,0.0,0.316,0.053,0.111,0.111,0.0,0.111,0.667,0.0,0.333,0.222,0.222,0.111,0.111,0.0,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.175,0.048,0.032,0.27,0.444,0.032,0.111,0.0,0.0,0.722,0.111,0.056,0.667,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.185,0.0,0.111,0.259,0.074,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.4,0.2,0.0,0.667,0.167,0.0,0.167,0.0,0.0,0.222,0.111,0.0,0.0,0.444,0.222,0.133,0.6,0.2,0.0,0.067,0.0,0.273,0.0,0.091,0.273,0.273,0.091,0.381,0.286,0.071,0.119,0.095,0.048,0.0,0.167,0.0,0.167,0.5,0.167
2014-11-26,0.533,0.267,0.0,0.0,0.2,0.0,0.25,0.125,0.0,0.5,0.125,0.0,0.31,0.241,0.034,0.103,0.241,0.069,0.125,0.562,0.0,0.188,0.125,0.0,0.0,0.25,0.25,0.5,0.0,0.0,0.333,0.333,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.267,0.333,0.067,0.0,0.133,0.2,0.167,0.0,0.167,0.0,0.5,0.167,0.167,0.083,0.083,0.417,0.167,0.083,0.0,0.0,0.0,0.667,0.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.118,0.088,0.029,0.265,0.5,0.0,0.176,0.0,0.118,0.471,0.176,0.059,0.0,1.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.667,0.0,0.0,0.455,0.182,0.182,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.267,0.067,0.333,0.133,0.133,0.067,0.462,0.231,0.0,0.0,0.308,0.0,0.167,0.5,0.167,0.0,0.167,0.0,0.182,0.0,0.091,0.273,0.455,0.0,0.371,0.429,0.0,0.057,0.143,0.0,0.5,0.0,0.0,0.0,0.5,0.0
2014-12-01,0.231,0.0,0.077,0.308,0.385,0.0,0.3,0.0,0.1,0.2,0.3,0.1,0.389,0.278,0.0,0.111,0.222,0.0,0.308,0.231,0.0,0.077,0.308,0.077,0.25,0.0,0.0,0.375,0.25,0.125,0.125,0.125,0.0,0.25,0.375,0.125,1.0,0.0,0.0,0.0,0.0,0.0,0.125,0.375,0.062,0.062,0.312,0.062,0.167,0.167,0.0,0.167,0.5,0.0,0.429,0.0,0.0,0.143,0.429,0.0,0.0,0.111,0.222,0.444,0.111,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.097,0.032,0.032,0.29,0.323,0.226,0.5,0.0,0.0,0.333,0.167,0.0,0.0,0.667,0.333,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.357,0.286,0.036,0.107,0.179,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.222,0.111,0.0,0.444,0.111,0.286,0.381,0.0,0.143,0.19,0.0,0.375,0.167,0.0,0.083,0.375,0.0,0.364,0.455,0.091,0.0,0.091,0.0,0.105,0.0,0.0,0.316,0.526,0.053,0.138,0.276,0.138,0.241,0.207,0.0,0.0,0.0,0.0,0.5,0.5,0.0
