Country_code,Newspaper_name,Language
AR,Clarín,Spanish
AR,Diario Crónica,Spanish
AR,Infobae,Spanish
AR,La Nación,Spanish
AU,The Australian,English
AU,The Daily Telegraph,English
AU,The Australian Financial Review,English
AU,The Age,English
BR,Estadão,Portuguese
BR,Folha de S.Paulo,Portuguese
BR,GauchaZH,Portuguese
BR,Jornal O Globo,Portuguese
CA,The Globe and Mail,English
CA,Montreal Gazette,English
CA,Ottawa Citizen,English
CA,Toronto Star,English
CA,The Vancouver Sun,English
CH,20 Minuten,German
CH,24 heures,German
CH,Le Temps,French
CH,Neue Zürcher Zeitung,French
CL,El Mercurio,Spanish
CL,El Mostrador,Spanish
CL,La Tercera,Spanish
CN,China Daily,English
CN,People's Daily China,English
CN,China Xinhua News,English
CO,El Colombiano,Spanish
CO,El Espectador,Spanish
CO,El Heraldo Colombia,Spanish
DE,BILD,German
DE,Frankfurter Allgemeine,German
DE,Handelsblatt,German
DE,ZEIT ONLINE,German
ES,ABC,Spanish
ES,El País,Spanish
ES,El Mundo,Spanish
ES,La Vanguardia,Spanish
FR,Le Figaro,French
FR,Le Parisien,French
FR,Le Monde,French
FR,Libération,French
HK,Hong Kong Free Press,English
HK,RTHK News,English
HK,SCMP News,English
IN,Economic Times,English
IN,Hindustan Times,English
IN,The Hindu,English
IN,Times of India,English
IT,Corriere della Sera,Italian
IT,Repubblica,Italian
IT,Il Sole 24 ORE,Italian
JP,Asahi Shimbun AJW,English
JP,The Japan Times,English
JP,Japan Today,English
JP,The Japan News,English
KR,The Korea JoongAng Daily,English
KR,The Korea Times,English
KR,The Korea Herald,English
KR,Yonhap News,English
MX,El Universal,Spanish
MX,La Jornada,Spanish
MX,Milenio,Spanish
MX,Reforma,Spanish
NO,Aftenposten,Norwegian
NO,Dagbladet,Norwegian
NO,VG,Norwegian
NZ,Dominion Post,English
NZ,ODT - Otago Daily Times,English
NZ,The Press Newsroom,English
PT,Correio da Manhã,Portuguese
PT,Expresso,Portuguese
PT,Jornal de Notícias,Portuguese
SA,Al Jazirah,Arabic
SA,Alwatan,Arabic
SA,OKAZ,Arabic
SE,Dagens Nyheter,Swedish
SE,Goteborgs Posten,Swedish
SE,Svenska Dagbladet,Swedish
SE,Sydsvenskan,Swedish
UK,BBC News,English
UK,Financial Times,English
UK,The Guardian,English
UK,The Times and The Sunday Times,English
US,Boston Globe,English
US,Chicago Tribune,English
US,Dallas News,English
US,Houston Chronicle,English
US,LA Times,English
US,Miami Herald,English
US,NY Times,English
US,SF Chronicle,English
US,USA Today,English
US,Washinton Post,English
US,Wall Street Journal,English
ZA,Daily Sun,English
ZA,Sunday Times,English
ZA,Times Live,English
